mq5,mq9,mq135,humidity,temp,pressure,dust
128.36,106.32,122.31,69,28,985,1.42
128.94,108.01,123.94,69,28,985,1.42
129.87,110.29,126.11,69,28,985,1.43
129.38,108.81,125.56,69,28,985,1.56
129.55,109.93,126.11,69,28,985,1.51
130.45,114.06,129.12,69,28,985,1.46
131.29,114.92,130.26,70,28,985,1.46
131.64,116.81,131.42,70,28,985,1.43
132.25,117.9,133.04,70,28,985,1.43
131.58,115.48,131.97,70,28,985,1.43
131.73,115.28,132.1,69,28,985,1.47
130.54,111.84,129.53,68,28,985,1.7
126.56,86.83,111.16,68,28,985,1.61
119.26,72.89,91.12,69,28,985,1.6
125.32,86.09,95.49,65,28,985,1.81
122.47,80.07,83.4,66,28,985,1.78
122.27,79.52,77.02,67,28,985,1.69
120.21,74.51,82.3,68,28,985,1.48
118.82,80.8,95.94,66,28,985,1.48
118.41,80,96.17,64,28,985,1.5
127.78,91.21,105.67,64,28,985,1.78
121.37,76.6,81.66,67,28,985,1.72
115.54,63.34,78.14,67,28,985,1.52
119.55,90.7,103.35,65,28,985,1.52
124.74,83.98,97.95,66,28,985,1.61
117.75,79.29,96.75,68,28,985,1.48
130.04,95.41,108.58,66,28,985,1.94
122.47,80.28,86.61,68,28,985,1.65
129.09,102.44,88.33,72,28,985,3.22
128.97,102.49,85.83,74,28,985,3.45
127.41,97.01,83.74,74,28,985,2.27
123.66,86.59,92.33,75,28,985,1.82
121.46,86.9,102.92,75,28,985,1.56
126.07,107.89,121.27,73,28,985,1.52
128.59,108.69,123.62,72,28,985,1.59
130.48,113.94,127.17,73,28,985,1.53
129.46,106.56,123.21,72,28,985,1.5
129.87,110.56,125.64,71,28,985,1.53
130.71,111.77,126,72,28,985,1.64
130.71,111.52,125.77,71,28,985,1.48
130.22,109.72,124.97,70,28,985,1.66
130.77,112.62,126.58,70,28,985,1.53
131.03,112.7,126.65,71,28,985,1.52
129.87,109.2,124.36,70,28,985,1.64
130.01,109.79,124.98,69,28,985,1.6
130.31,111.34,125.61,69,28,985,1.55
131.38,114.94,128.07,71,28,985,1.59
132.62,118.41,130.49,72,28,985,1.51
132.22,115.21,128.56,72,28,985,1.53
132.34,116.84,129.12,70,28,985,1.52
132.31,116.99,129.34,70,28,985,1.48
132.13,115.43,129.13,71,28,985,1.64
131.7,114.24,128.24,70,28,985,1.51
130.94,112.43,126.97,70,28,985,1.44
131.29,113.67,127.61,69,28,985,1.48
132.05,115.14,128.91,70,28,985,1.59
131.81,115.31,128.35,70,28,985,1.51
130.31,110.02,126.45,70,28,985,1.59
130.57,112.65,126.52,70,28,985,1.51
131.23,113.41,127.19,71,28,985,1.47
130.86,112.21,126.77,70,28,985,1.48
127.52,100.05,71.88,70,27,986,2.71
126.85,97.52,70.94,71,27,986,2.6
